,Nominative,accusative_nom,accusative_gen,genitive,partitive,inessive,elative,illative,adessive,ablative,allative,essive,translative,abessive
1844,merkintä,merkintä,merkinnän,merkinnän,merkintää,merkinnässä,merkinnästä,merkintään,merkinnällä,merkinnältä,merkinnälle,merkintänä,merkinnäksi,merkinnättä
1845,motiivi,motiivi,motiivin,motiivin,motiivia,motiivissa,motiivista,motiiviin,motiivilla,motiivilta,motiiville,motiivina,motiiviksi,motiivitta
1846,tunto,tunto,tunnon,tunnon,tuntoa,tunnossa,tunnosta,tuntoon,tunnolla,tunnolta,tunnolle,tuntona,tunnoksi,tunnotta
1847,mummo,mummo,mummon,mummon,mummoa,mummossa,mummosta,mummoon,mummolla,mummolta,mummolle,mummona,mummoksi,mummotta
1848,raati,raati,raadin,raadin,raatia,raadissa,raadista,raatiin,raadilla,raadilta,raadille,raatina,raadiksi,raaditta
1849,rauhanturvajoukko,rauhanturvajoukko,rauhanturvajoukon,rauhanturvajoukon,rauhanturvajoukkoa,rauhanturvajoukossa,rauhanturvajoukosta,rauhanturvajoukkoon,rauhanturvajoukolla,rauhanturvajoukolta,rauhanturvajoukolle,rauhanturvajoukkona,rauhanturvajoukoksi,rauhanturvajoukotta
1850,kantaesitys,kantaesitys,kantaesityksen,kantaesityksen,kantaesitystä,kantaesityksessä,kantaesityksestä,kantaesitykseen,kantaesityksellä,kantaesitykseltä,kantaesitykselle,kantaesityksenä,kantaesitykseksi,kantaesityksettä
1851,sieni,sieni,sienen,sienen,sientä,sienessä,sienestä,sieneen,sienellä,sieneltä,sienelle,sienenä,sieneksi,sienettä
1852,hyödyntäminen,hyödyntäminen,hyödyntämisen,hyödyntämisen,hyödyntämistä,hyödyntämisessä,hyödyntämisestä,hyödyntämiseen,hyödyntämisellä,hyödyntämiseltä,hyödyntämiselle,hyödyntämisenä,hyödyntämiseksi,hyödyntämisettä
1853,tuttava,tuttava,tuttavan,tuttavan,tuttavaa,tuttavassa,tuttavasta,tuttavaan,tuttavalla,tuttavalta,tuttavalle,tuttavana,tuttavaksi,tuttavatta
1854,huoltoasema,huoltoasema,huoltoaseman,huoltoaseman,huoltoasemaa,huoltoasemassa,huoltoasemasta,huoltoasemaan,huoltoasemalla,huoltoasemalta,huoltoasemalle,huoltoasemana,huoltoasemaksi,huoltoasematta
1855,kesämökki,kesämökki,kesämökin,kesämökin,kesämökkiä,kesämökissä,kesämökistä,kesämökkiin,kesämökillä,kesämökiltä,kesämökille,kesämökkinä,kesämökiksi,kesämökittä
1856,jäähy,jäähy,jäähyn,jäähyn,jäähyä,jäähyssä,jäähystä,jäähyyn,jäähyllä,jäähyltä,jäähylle,jäähynä,jäähyksi,jäähyttä
1857,haju,haju,hajun,hajun,hajua,hajussa,hajusta,hajuun,hajulla,hajulta,hajulle,hajuna,hajuksi,hajutta
1858,ryöstö,ryöstö,ryöstön,ryöstön,ryöstöä,ryöstössä,ryöstöstä,ryöstöön,ryöstöllä,ryöstöltä,ryöstölle,ryöstönä,ryöstöksi,ryöstöttä
1859,kustantaja,kustantaja,kustantajan,kustantajan,kustantajaa,kustantajassa,kustantajasta,kustantajaan,kustantajalla,kustantajalta,kustantajalle,kustantajana,kustantajaksi,kustantajatta
1860,alkuperä,alkuperä,alkuperän,alkuperän,alkuperää,alkuperässä,alkuperästä,alkuperään,alkuperällä,alkuperältä,alkuperälle,alkuperänä,alkuperäksi,alkuperättä
1861,lakkauttaminen,lakkauttaminen,lakkauttamisen,lakkauttamisen,lakkauttamista,lakkauttamisessa,lakkauttamisesta,lakkauttamiseen,lakkauttamisella,lakkauttamiselta,lakkauttamiselle,lakkauttamisena,lakkauttamiseksi,lakkauttamisetta
1862,työkalu,työkalu,työkalun,työkalun,työkalua,työkalussa,työkalusta,työkaluun,työkalulla,työkalulta,työkalulle,työkaluna,työkaluksi,työkalutta
1863,keskusjärjestö,keskusjärjestö,keskusjärjestön,keskusjärjestön,keskusjärjestöä,keskusjärjestössä,keskusjärjestöstä,keskusjärjestöön,keskusjärjestöllä,keskusjärjestöltä,keskusjärjestölle,keskusjärjestönä,keskusjärjestöksi,keskusjärjestöttä
1864,ateria,ateria,aterian,aterian,ateriaa,ateriassa,ateriasta,ateriaan,aterialla,aterialta,aterialle,ateriana,ateriaksi,ateriatta
1865,aukio,aukio,aukion,aukion,aukiota,aukiossa,aukiosta,aukioon,aukiolla,aukiolta,aukiolle,aukiona,aukioksi,aukiotta
1866,itsetunto,itsetunto,itsetunnon,itsetunnon,itsetuntoa,itsetunnossa,itsetunnosta,itsetuntoon,itsetunnolla,itsetunnolta,itsetunnolle,itsetuntona,itsetunnoksi,itsetunnotta
1867,kesto,kesto,keston,keston,kestoa,kestossa,kestosta,kestoon,kestolla,kestolta,kestolle,kestona,kestoksi,kestotta
1868,kuvaaja,kuvaaja,kuvaajan,kuvaajan,kuvaajaa,kuvaajassa,kuvaajasta,kuvaajaan,kuvaajalla,kuvaajalta,kuvaajalle,kuvaajana,kuvaajaksi,kuvaajatta
